"stop_id","fermata","descrizione","lat","lon"
186,3491,"Sottomarina Milano",45.215336,12.292016
187,3492,"Sottomarina Milano",45.215031,12.292194
188,3494,"Sottomarina Centro Anzian",45.208271,12.29216
189,3495,"Sottomarina Tirreno",45.208179,12.289858
190,3496,"Sottomarina Ionio",45.20649,12.296863
191,3498,"Sottomarina Pisani",45.203987,12.298047
192,3499,"Sottomarina Pegaso",45.201519,12.29912
193,3500,"Sottomarina Vega",45.199837,12.299883
194,3501,"Brondolo",45.184643,12.278858
195,3502,"Brondolo Foscarini",45.18161,12.279794
196,3503,"Brondolo Foscarini",45.181683,12.279724
197,3504,"Via dei Cantieri Cantiere",45.427792,12.257347
198,3505,"Brondolo",45.184746,12.278878
199,3510,"Chioggia Vigo",45.223473,12.280875
200,3511,"Chioggia Campo Marconi",45.215195,12.276958
201,3527,"Campoverardo Scuole",45.39473,12.064301
202,3528,"Campoverardo Scuole",45.394653,12.065623
203,3529,"Camponogara Arzerini",45.397614,12.079631
204,3530,"Pellico Arzerini",45.397427,12.079909
205,3539,"Mira Alfieri",45.435257,12.123081
206,3541,"Scaramuzza Gatta",45.533386,12.217827
207,3543,"Scaramuzza Forte",45.526085,12.216903
208,3545,"Scaramuzza Sicilia",45.521114,12.214567
209,3547,"Scaramuzza Caprera",45.517006,12.212956
210,3549,"Scaramuzza Rubens",45.513294,12.213497
211,3551,"Selvanese Visinoni",45.511532,12.205077
212,3552,"Selvanese Visinoni",45.51075,12.20601
213,3553,"Tito Castellana",45.51553,12.205134
214,3554,"Tito Castellana",45.515583,12.204722
215,3555,"Casale sul Sile Toniolo",45.586777,12.324355
216,3556,"Casale sul Sile Toniolo",45.586311,12.323899
217,3557,"Bonisiolo degli Angeli",45.582012,12.321466
218,3558,"Bonisiolo  degli Angeli",45.582218,12.320978
219,3559,"Bonisiolo Centro",45.582157,12.315933
220,2099,"Rosara",45.289772,12.098502
221,2100,"Rosara Longo",45.302933,12.090961
222,2101,"Piove di Sacco Fiumazzo",45.312546,12.077592
223,2102,"Corte",45.3088,12.074002
224,2103,"Corte",45.30912,12.073676
225,2104,"Piove di Sacco Civico 29",45.303802,12.056401
226,2105,"Piove di Sacco",45.298286,12.034706
227,2106,"Piove di Sacco Scuole",45.302151,12.031965
228,2107,"Piove di Sacco Scuole",45.302086,12.031693
229,2109,"Piove di Sacco Ospedale",45.292198,12.032159
230,2110,"Piove di Sacco Rusteghell",45.287338,12.030335
231,2134,"Bojon",45.33802,12.069496
232,2135,"Bojon",45.338329,12.068984
233,2136,"Bojon Civico 244",45.338772,12.061026
234,2137,"Bojon Civico 244",45.338482,12.061383
235,2138,"Campolongo",45.331409,12.048442
236,2139,"Campolongo",45.331402,12.048707
237,2140,"Campolongo Pordoi",45.335896,12.039636
238,2141,"Campolongo Pordoi",45.335926,12.039308
239,2142,"Alto Adige Civico 130",45.325523,12.026022
240,2143,"Campolongo Civico 130",45.32526,12.025873
241,2144,"Campolongo Liettoli",45.341938,12.0228
242,2145,"Liettoli Trentino",45.341808,12.022051
243,2146,"Sandon Chiusa",45.353333,12.029348
244,2147,"Sandon Chiusa",45.35331,12.029253
245,2148,"Sandon Toscana",45.357468,12.036114
246,2149,"Sandon Toscana",45.357529,12.036069
247,2150,"Sandon",45.363899,12.041694
248,2151,"Sandon",45.363548,12.041225
249,2152,"Fosso' Callesette",45.381836,12.048556
250,2153,"Foso' Sud Callesette",45.381493,12.048288
251,2154,"Fosso' Provinciale 17",45.385426,12.047618
252,2155,"Fosso'",45.386917,12.049405
253,2156,"Fosso' Roncaglia",45.385876,12.043658
254,2157,"Fosso' Roncaglia",45.386066,12.043875
255,2158,"Fosso' Centro",45.385647,12.04745
256,2159,"Fosso'",45.386539,12.048965
257,2160,"Fosso' Civico 21",45.383537,12.035583
258,2161,"Fosso' Civico 21",45.383778,12.035452
259,2162,"Galta Trieste",45.385536,12.024721
260,2163,"Galta Trieste",45.38567,12.024806
261,2164,"Galta Battisti",45.391541,12.020727
262,2165,"Galta Centro",45.39172,12.022315
263,2170,"Vigonovo De Gasperi",45.385113,12.007987
264,2171,"Vigonovo Moro",45.385204,12.006842
265,2172,"Roma Villamora",45.378815,12.002318
266,2173,"Vigonovo Villamora",45.378853,12.00207
267,2174,"Vigonza Civico 12",45.428925,11.96195
268,2175,"Vigonza Civico 12",45.42907,11.962003
269,2176,"Vigonza Civico 27",45.429817,11.966422
270,2177,"Vigonza Civico 16",45.429825,11.966152
271,2178,"Bojon Corsivola",45.342846,12.066495
272,2179,"Bojon Corsivola",45.343086,12.065868
273,2180,"Bojon",45.349491,12.070999
274,2181,"Bojon",45.349892,12.070474
275,2182,"Campolongo Sopracornio",45.353195,12.073623
276,2183,"Campolongo Sopracornio",45.35318,12.07301
277,2184,"Cornio",45.356331,12.066175
